iter	RMSE
0	16.6026756
1	16.10783786
2	15.64173813
3	15.19124075
4	14.75123116
5	14.33721088
6	13.92627429
7	13.56371073
8	13.2100293
9	12.89267233
10	12.56974789
11	12.2017866
12	11.88821907
13	11.6200445
14	11.35262553
15	11.09670667
16	10.83194457
17	10.59824146
18	10.3789783
19	10.15443687
20	9.970981713
21	9.769439444
22	9.555342308
23	9.375340093
24	9.184027209
25	8.982248125
26	8.809738908
27	8.636648157
28	8.485375577
29	8.321294396
30	8.168608167
31	8.023416893
32	7.887137201
33	7.749081408
34	7.650924494
35	7.546815039
36	7.413573405
37	7.308785711
38	7.192581391
39	7.098190777
40	7.017295224
41	6.909524183
42	6.820967828
43	6.717227566
44	6.637974589
45	6.561859444
46	6.487611322
47	6.395129442
48	6.324627714
49	6.246323885
50	6.188689457
51	6.119023952
52	6.04142666
53	5.999858713
54	5.937510898
55	5.890965674
56	5.819220382
57	5.763355656
58	5.716977707
59	5.649922653
60	5.595404312
61	5.541169579
62	5.490492702
63	5.450697805
64	5.411450192
65	5.369758113
66	5.322702978
67	5.288691193
68	5.248670421
69	5.207381844
70	5.177432787
71	5.133568861
72	5.102257041
73	5.074944812
74	5.038367184
75	5.008871362
76	4.978923682
77	4.95569021
78	4.93077193
79	4.911589683
80	4.885661395
81	4.862424443
82	4.840278872
83	4.817605793
84	4.801012505
85	4.76420005
86	4.735030174
87	4.711121671
88	4.69241731
89	4.668498451
90	4.64581771
91	4.627254468
92	4.602451005
93	4.581112791
94	4.562411919
95	4.541497351
96	4.520313813
97	4.507928995
98	4.496869335
99	4.470153107
100	4.453169837
101	4.43383056
102	4.414881388
103	4.396032694
104	4.379356852
105	4.366456711
106	4.348947149
107	4.327721679
108	4.314087541
109	4.298822315
110	4.279550759
111	4.272040059
112	4.262818715
113	4.250536627
114	4.23481521
115	4.223305705
116	4.209957539
117	4.194182408
118	4.182995503
119	4.171046094
120	4.158399728
121	4.137273378
122	4.123227745
123	4.111661001
124	4.100888701
125	4.084174877
126	4.074418847
127	4.058651246
128	4.04180645
129	4.025235595
130	4.011752196
131	4.001109423
132	3.988851373
133	3.977978444
134	3.965003975
135	3.95656629
136	3.938752896
137	3.92165408
138	3.909846275
139	3.897617733
140	3.88582245
141	3.871937138
142	3.857592115
143	3.847239564
144	3.832879101
145	3.818950701
146	3.813023712
147	3.803368183
148	3.792755352
149	3.784261621
150	3.775157777
151	3.769132332
152	3.767656023
153	3.754317109
154	3.748615681
155	3.74556049
156	3.737965488
157	3.722176393
158	3.720645409
159	3.711201032
160	3.700032846
161	3.691113993
162	3.685595481
163	3.670720257
164	3.666946611
165	3.661236928
166	3.651459705
167	3.649078408
168	3.648300116
169	3.64257537
170	3.62869273
171	3.618139509
172	3.613775921
173	3.608073322
174	3.594891448
175	3.592087819
176	3.588802187
177	3.57403752
178	3.566586328
179	3.553642886
180	3.549116638
181	3.544904567
182	3.542978062
183	3.536663772
184	3.531855009
185	3.528138353
186	3.526474356
187	3.51175554
188	3.506007415
189	3.503370526
190	3.489245519
191	3.485656291
192	3.484081699
193	3.469566128
194	3.455581383
195	3.440212632
196	3.437852185
197	3.42402657
198	3.422620435
199	3.41970739
200	3.411898622
201	3.399143033
202	3.397128283
203	3.384300608
204	3.371826119
205	3.362801734
206	3.354460708
207	3.344153334
208	3.334150044
209	3.332189792
210	3.330271099
211	3.328978977
212	3.320603779
213	3.31014947
214	3.308473665
215	3.297651573
216	3.291851297
217	3.281088099
218	3.27997197
219	3.266144877
220	3.25478645
221	3.252235668
222	3.24082261
223	3.238982869
224	3.237367827
225	3.23643324
226	3.226648754
227	3.225278016
228	3.222820445
229	3.214049585
230	3.211156698
231	3.200648353
232	3.191379445
233	3.181567699
234	3.178450822
235	3.167312538
236	3.165661213
237	3.1647557
238	3.162267283
239	3.151813855
240	3.141670002
241	3.131625397
242	3.123623467
243	3.114999102
244	3.113813103
245	3.103559722
246	3.094858273
247	3.085058952
248	3.076935925
249	3.067439426
250	3.064905724
251	3.062743717
252	3.056499622
253	3.048451565
254	3.041827133
255	3.038905573
256	3.037118213
257	3.035428287
258	3.031400038
259	3.022100969
260	3.015931932
261	3.010134305
262	3.001026236
263	2.992735761
264	2.983112561
265	2.980956198
266	2.974818885
267	2.963303236
268	2.958601225
269	2.956737461
270	2.954440629
271	2.952649965
272	2.942531707
273	2.937080496
274	2.9317083
275	2.930751976
276	2.929652904
277	2.925954296
278	2.922052254
279	2.919804538
280	2.912444297
281	2.910605872
282	2.906838008
283	2.902669698
284	2.901787939
285	2.899654425
286	2.895896892
287	2.88962736
288	2.886669652
289	2.885645801
290	2.877039633
291	2.869360937
292	2.866907236
293	2.859190783
294	2.857734503
295	2.852201139
296	2.844146935
297	2.842213302
298	2.836785609
299	2.831977769
300	2.825295043
301	2.817940451
302	2.813324384
303	2.808256956
304	2.803315779
305	2.797961178
306	2.792496048
307	2.791409772
308	2.786974936
309	2.781182699
310	2.775341953
311	2.774433215
312	2.768270584
313	2.76694192
314	2.76599143
315	2.763108022
316	2.758284852
317	2.75373131
318	2.752436706
319	2.746694642
320	2.740743642
321	2.7345214
322	2.733548112
323	2.72903107
324	2.723075868
325	2.719806915
326	2.71550158
327	2.714229894
328	2.712916613
329	2.706998722
330	2.703639635
331	2.69777364
332	2.69581193
333	2.690593106
334	2.685781192
335	2.681034745
336	2.675942126
337	2.669099952
338	2.663525686
339	2.66095936
340	2.654734849
341	2.649714125
342	2.644687838
343	2.64033388
344	2.635710531
345	2.634237074
346	2.626720393
347	2.619015299
348	2.615528127
349	2.613719036
350	2.611842908
351	2.610407378
352	2.606621398
353	2.598995633
354	2.59123521
355	2.586628899
356	2.58211108
357	2.576026509
358	2.570702783
359	2.563704368
360	2.560301138
361	2.555972881
362	2.554909714
363	2.554580209
364	2.549662549
365	2.544351353
366	2.541668004
367	2.536961646
368	2.532078451
369	2.527086794
370	2.5220953
371	2.518221913
372	2.517071231
373	2.511924528
374	2.509754723
375	2.507279862
376	2.504236075
377	2.497319285
378	2.491659238
379	2.48929018
380	2.486311245
381	2.482415361
382	2.477160313
383	2.475181464
384	2.466171703
385	2.464946417
386	2.461998267
387	2.456663088
388	2.450082972
389	2.448623518
390	2.447839514
391	2.444910772
392	2.441645574
393	2.438425179
394	2.434326278
395	2.433032399
396	2.430916719
397	2.425627829
398	2.424208629
399	2.421122957
400	2.420028142
401	2.414896635
402	2.411584267
403	2.4064951
404	2.402618593
405	2.400813881
406	2.397020821
407	2.396024825
408	2.390511909
409	2.387082508
410	2.383006203
411	2.377567518
412	2.374374594
413	2.371352969
414	2.368781078
