iter	Passed	Remaining
0	1	1192
1	2	1063
2	3	1001
3	3	970
4	4	954
5	5	937
6	6	921
7	7	910
8	8	904
9	9	898
10	9	891
11	10	886
12	11	904
13	13	920
14	14	934
15	15	945
16	16	959
17	17	963
18	18	969
19	19	971
20	20	961
21	21	969
22	23	980
23	24	985
24	25	989
25	26	991
26	27	1003
27	28	1003
28	29	1001
29	31	1005
30	32	1010
31	33	1013
32	34	1020
33	36	1027
34	37	1035
35	39	1054
36	41	1068
37	43	1091
38	45	1116
39	47	1139
40	48	1146
41	51	1176
42	54	1205
43	56	1230
44	58	1246
45	60	1264
46	63	1278
47	65	1296
48	67	1316
49	70	1332
50	71	1335
51	73	1337
52	74	1335
53	75	1322
54	76	1321
55	78	1324
56	80	1328
57	81	1329
58	83	1332
59	84	1331
60	86	1333
61	88	1334
62	89	1335
63	91	1339
64	93	1337
65	94	1337
66	96	1338
67	97	1338
68	99	1336
69	100	1332
70	101	1330
71	102	1327
72	104	1327
73	105	1326
74	107	1323
75	108	1318
76	109	1314
77	110	1310
78	112	1309
79	113	1305
80	114	1301
81	115	1296
82	116	1291
83	118	1290
84	119	1286
85	120	1283
86	122	1280
87	123	1277
88	124	1274
89	125	1271
90	127	1269
91	128	1266
92	129	1262
93	130	1258
94	132	1257
95	133	1255
96	134	1252
97	135	1248
98	136	1239
99	137	1234
100	138	1231
101	139	1227
102	140	1226
103	142	1223
104	143	1220
105	144	1219
106	145	1217
107	147	1214
108	148	1211
109	149	1208
110	150	1205
111	151	1202
112	152	1198
113	153	1195
114	155	1193
115	156	1192
116	157	1190
117	158	1187
118	159	1183
119	160	1180
120	161	1176
121	163	1173
122	164	1170
123	165	1166
124	166	1163
125	167	1160
126	168	1157
127	169	1154
128	171	1154
129	172	1152
130	173	1150
131	174	1147
132	175	1146
133	177	1145
134	178	1142
135	179	1140
136	180	1138
137	182	1137
138	183	1137
139	185	1138
140	186	1139
141	188	1137
142	189	1135
143	191	1135
144	192	1135
145	194	1135
146	195	1134
147	197	1136
148	199	1137
149	200	1138
150	202	1139
151	204	1141
152	205	1138
153	207	1137
154	208	1137
155	210	1137
156	211	1135
157	212	1132
158	213	1129
159	214	1127
160	215	1124
161	216	1121
162	217	1117
163	218	1115
164	220	1114
165	221	1111
166	222	1108
167	223	1106
168	223	1099
169	224	1096
170	225	1093
171	226	1090
172	227	1087
173	228	1085
174	229	1081
175	230	1078
176	231	1075
177	232	1072
178	233	1069
179	234	1067
180	235	1064
181	236	1062
182	237	1059
183	238	1056
184	239	1054
185	240	1051
186	241	1048
187	242	1045
188	243	1042
189	243	1039
190	244	1037
191	245	1034
192	246	1031
193	247	1028
194	248	1026
195	249	1024
196	250	1022
197	252	1021
198	253	1018
199	254	1016
200	255	1014
201	256	1011
202	256	1008
203	257	1006
204	259	1004
205	259	1002
206	260	999
207	261	996
208	263	995
209	264	993
210	265	991
211	266	989
212	267	987
213	268	984
